,0
514,-33.59559866361364
515,-27.675844952191795
516,-20.44496989128703
517,-16.703408229550988
518,-8.307597369405656
519,-0.6920234920737158
520,-2.8132361173727816
521,-18.836560193696826
522,-34.120650116235026
523,-32.16673688193768
524,-29.82446811139704
525,-28.214375728102823
526,-30.021800171977958
527,-37.90543242243181
528,-42.57757873733947
529,-41.63430556370023
530,-35.783821422778786
531,-28.965840569143538
532,-23.465283704023847
533,-20.696837617158067
534,-8.58824318293523
535,-0.6223258177899567
536,-6.4404346100955365
537,-32.8684168205063
538,-40.307237348287536
539,-36.14184104926303
540,-35.4730894266971
541,-32.347598838631384
542,-35.3100056687842
543,-41.44862149355796
544,-46.37177338088408
545,-44.01450908615441
546,-37.87787324137864
547,-31.345503015982644
548,-25.005624900061378
549,-22.817889703538384
550,-8.18759750057825
551,-0.3278677113614492
552,-9.638423384694434
553,-37.056912886174075
554,-39.88038814685799
555,-36.20339285989138
556,-35.61384638313112
557,-32.51863224596566
558,-34.29762940944917
559,-36.99716267896733
560,-37.984637568237474
561,-39.074797906652876
562,-33.65217376776056
563,-26.360020406977924
564,-21.200388746437866
565,-21.146495236822773
566,-10.44442983691114
567,-0.38134500896494217
568,-8.454115889257267
569,-36.537224622616336
570,-37.17014039098432
571,-34.63140171331533
572,-33.3600642862546
573,-30.433196016005738
574,-29.215555884326065
575,-32.119235199643455
576,-29.679501467760076
577,-29.116104997099455
578,-25.228952373709063
579,-19.7539271425575
580,-14.321878774545596
581,-14.1059658205901
582,-12.813181583160699
583,-2.068977690018471
584,-10.982764398588131
585,-30.379260885189495
586,-28.93615870683125
587,-28.15721198125381
588,-26.81492229798866
589,-22.965127675581456
590,-21.288215426769327
591,-20.083204356698474
592,-17.121178063241985
593,-14.547346767110028
594,-10.817873091367744
595,-8.019566765613291
596,-5.3258545183715285
597,-4.422109594061624
598,-3.588948281031577
599,-14.290549901844585
600,-23.476313322330995
601,-27.527405911200987
602,-27.056503641287534
603,-29.130987549456748
604,-27.68499567056091
605,-26.17421741911805
606,-19.43254606486498
607,-19.00644009917042
608,-24.3992515662611
609,-24.30101363975399
610,-20.45973947181261
611,-17.684104808918093
612,-13.437113117964216
613,-11.706384656053444
614,-8.243976390491113
615,-14.337403482577926
616,-19.94091336170746
617,-27.80195124581782
