,0
512,-21.998118525509796
513,-22.76865776845311
514,-19.838138724274017
515,-17.246023829061485
516,-12.359076440857862
517,-7.765035282868084
518,-4.4815327775449845
519,-1.941914108765772
520,-1.917107872874979
521,-2.4715498394005238
522,-4.391060177996977
523,-7.307219907776201
524,-10.576083642063082
525,-15.105076808527144
526,-17.697150082538514
527,-21.967711265120172
528,-27.821453751503782
529,-27.772340734136108
530,-24.332568456118423
531,-18.43422587974996
532,-13.458262634038888
533,-8.466429818914463
534,-4.663625532615811
535,-2.1523330641682747
536,-2.4170914706268576
537,-4.174166152871308
538,-10.58981269255969
539,-15.956331452289618
540,-18.72622833531007
541,-21.96473832218024
542,-25.138872202629116
543,-28.508393838976204
544,-30.395933149196637
545,-26.478569479650645
546,-25.91481030995135
547,-21.315370287582667
548,-14.155887478437435
549,-8.646863671824818
550,-4.518076192162624
551,-1.825636364499161
552,-2.466436377543843
553,-5.971209080000193
554,-14.6947631157295
555,-21.776033742010995
556,-24.80104480459289
557,-26.03112372953325
558,-27.268147449181285
559,-29.330519587813228
560,-31.226615027814773
561,-30.15036211647238
562,-28.07452849220843
563,-21.76682951066897
564,-14.740849677184315
565,-8.49793706819186
566,-4.609196893271545
567,-1.9883930986886753
568,-2.8600064557037967
569,-7.721398426395766
570,-15.4485052310622
571,-21.766068437276346
572,-23.6156254284962
573,-23.39698925880772
574,-23.889225367258135
575,-25.702286510947374
576,-26.910942409062585
577,-26.967125084741426
578,-24.9598772541017
579,-20.075248761391222
580,-14.508549861743916
581,-10.101447355817072
582,-6.050521251751704
583,-2.4644980187470082
584,-3.2603905190820655
585,-7.522151790561523
586,-14.168837617883781
587,-19.50150644929964
588,-20.80437490918129
589,-21.019336521396
590,-21.44461600895326
591,-22.001079576677967
592,-22.191692786214645
593,-21.873861402392393
594,-19.866595734095043
595,-15.115684268936818
596,-11.512489317511083
597,-9.16041578115454
598,-6.430403900616199
599,-3.5020372671256155
600,-5.0223289359762475
601,-8.209948085600658
602,-13.21018838335921
603,-19.750686634752967
604,-22.194945185790928
605,-23.752660260369424
606,-22.50727067928841
607,-22.66967066032514
608,-26.200409046418855
609,-25.087695962861133
610,-22.728421958704075
611,-15.216942705470899
612,-10.556075736077332
613,-8.217344767635211
614,-6.743722357055631
615,-2.9825749472313134
616,-3.3923832397291704
617,-5.392032228214418
618,-8.673073136783259
619,-15.128164683398651
620,-13.870794142269716
621,-17.84422156977695
622,-20.306151293649847
623,-24.89549520179453
624,-29.449895138623248
625,-29.446065988116615
626,-25.87247560248673
627,-18.69192651966914
628,-11.908812340833407
629,-8.701744198495959
630,-6.995221438002105
631,-3.4719332469158672
632,-3.351862027457898
633,-4.350003835996517
634,-9.196388390727705
635,-19.62396791488132
636,-25.28683557274954
637,-26.91228023338556
638,-27.875549421238773
639,-30.792238334861324
640,-34.38561068281352
641,-33.49937044653393
642,-30.930230454361194
643,-24.291226711595726
644,-17.31401503409772
645,-12.323163290143484
646,-7.014610971856342
647,-3.1575802063333356
648,-4.927664486882932
649,-9.416249412907433
650,-16.419973795543754
651,-24.371079958962298
652,-26.429266193934822
653,-27.528125363392448
654,-28.389565309667134
655,-31.320887048440014
656,-35.164539570733325
657,-35.38894324972527
658,-33.686499366945014
659,-25.463725677675484
660,-18.045186566630463
661,-12.094425060345117
662,-8.103623754296933
663,-3.782189572127166
664,-4.351210850830128
665,-7.712295275113689
666,-14.292684474875458
667,-20.315064176583775
668,-23.907580316969273
669,-25.46383270362132
670,-26.173170943203203
671,-27.686844841069544
672,-29.390917896580888
673,-29.584920261069087
674,-26.05370620410497
675,-19.435429819516713
676,-15.20585957419084
677,-11.028494206890159
678,-6.03346845104825
679,-2.9404007786854294
680,-3.2650104724107223
681,-5.10175407955947
682,-8.25038010958373
683,-15.56959319700563
684,-21.906498369986977
685,-22.77353934076048
686,-25.108768182419368
687,-26.46833066416552
688,-27.954267004402297
689,-28.522705586289035
690,-24.77444291116639
691,-17.375656033014266
692,-11.703673332092222
693,-9.326151404169863
694,-7.563214078447871
695,-3.3348567938414817
696,-3.5548724090540844
697,-6.709337299012375
698,-13.915673688890934
699,-24.100750257434285
700,-27.04559888658386
701,-27.731819521864836
702,-29.960617006274163
703,-30.191995209403174
704,-31.18895378665171
705,-29.332006059283188
706,-23.790898252462824
707,-15.773566812114353
708,-11.82572453154819
709,-9.44836314254458
710,-5.900102230762911
711,-2.821768463610397
712,-4.425332264208507
713,-7.9047695469307655
714,-16.13281129108985
715,-23.13302760105705
716,-25.365350995793136
717,-27.09631134725322
718,-26.96362295795818
719,-28.65943123209651
720,-30.25201892736041
721,-28.459905139625917
722,-24.183808337290102
723,-18.417464427454618
724,-12.341987964839134
725,-8.82289162329819
726,-6.802925542761429
727,-3.9395652795953993
728,-4.65587804331436
729,-10.04971814866225
730,-23.552289852103883
731,-28.64261032094238
732,-29.914560174248734
733,-29.408600961187602
734,-30.19282763342636
735,-32.65939514828557
736,-34.622417479750865
