,0
0,178.37951938747113
1,57.16686841735516
2,41.474706459210594
3,34.9861403794755
4,30.623036505575204
5,27.715066504317825
6,25.598009408901184
7,23.981068127164466
8,22.773864372243093
9,21.99394941280997
